,name,alignment,gender,race,eye,hair,height_cm,weight_kg,publisher
1,A-Bomb,good,male,human,yellow,no hair,203,441,marvel
2,Abin Sur,good,male,alien,blue,no hair,185,90,dc
3,Abomination,bad,male,human,green,no hair,203,441,marvel
4,Absorbing Man,bad,male,human,blue,no hair,193,122,marvel
5,Adam Strange,good,male,human,blue,blond,185,88,dc
6,Agent Bob,good,male,human,brown,burnette,178,81,marvel
7,Ajax,bad,male,robot,brown,burnette,193,90,marvel
8,Alfred Pennyworth,good,male,human,blue,burnette,178,72,dc
9,Ammo,bad,male,human,brown,burnette,188,101,marvel
10,Angel Dust,good,female,human,yellow,burnette,165,57,marvel
11,Animal Man,good,male,human,blue,blond,183,83,dc
12,Ant-Man,good,male,human,blue,blond,211,122,marvel
13,Ant-Man II,good,male,human,blue,blond,183,86,marvel
14,Apocalypse,bad,male,human,red,burnette,213,135,marvel
15,Aqualad,good,male,amazon/atlantean,blue,burnette,178,106,dc
16,Aquaman,good,male,amazon/atlantean,blue,blond,185,146,dc
17,Arachne,good,female,human,blue,blond,175,63,marvel
18,Archangel,good,male,human,blue,blond,183,68,marvel
19,Ardina,good,female,alien,white,ginger,193,98,marvel
20,Atlas,good,male,human,brown,ginger,183,101,marvel
21,Atlas,bad,male,diety,blue,burnette,198,126,dc
22,Atom II,good,male,human,brown,ginger,183,81,dc
23,Aurora,good,female,human,blue,burnette,180,63,marvel
24,Azazel,bad,male,demon,yellow,burnette,183,67,marvel
25,Banshee,good,male,human,green,blond,183,77,marvel
26,Batgirl,good,female,human,green,ginger,170,57,dc
27,Batgirl IV,good,female,human,green,burnette,165,52,dc
28,Batman,good,male,human,blue,burnette,188,95,dc
29,Batman,good,male,human,blue,burnette,178,77,dc
30,Batman II,good,male,human,blue,burnette,178,79,dc
31,Beast,good,male,human,blue,blue,180,181,marvel
32,Beast Boy,good,male,human,green,green,173,68,dc
33,Big Barda,bad,female,diety,blue,burnette,188,135,dc
34,Bishop,good,male,human,brown,no hair,198,124,marvel
35,Black Bolt,good,male,human,blue,burnette,188,95,marvel
36,Black Canary,good,female,human,blue,blond,165,58,dc
37,Black Canary,good,female,human,blue,blond,170,59,dc
38,Black Cat,good,female,human,green,blond,178,54,marvel
39,Black Knight III,good,male,human,brown,burnette,183,86,marvel
40,Black Manta,bad,male,human,black,no hair,188,92,dc
41,Black Panther,good,male,human,brown,burnette,183,90,marvel
42,Black Widow,good,female,human,green,ginger,170,59,marvel
43,Blackout,bad,male,demon,red,white,191,104,marvel
44,Blade,good,male,undead,brown,burnette,188,97,marvel
45,Blink,good,female,human,green,purple,165,56,marvel
46,Bloodaxe,bad,female,human,blue,burnette,218,495,marvel
47,Boom-Boom,good,female,human,blue,blond,165,55,marvel
48,Booster Gold,good,male,human,blue,blond,196,97,dc
49,Brainiac,bad,male,robot,green,no hair,198,135,dc
50,Brother Voodoo,good,male,human,brown,mixed,183,99,marvel
51,Bullseye,bad,male,human,blue,blond,183,90,marvel
52,Bumblebee,good,female,human,brown,burnette,170,59,dc
53,Cable,good,male,human,blue,white,203,158,marvel
54,Captain America,good,male,human,blue,blond,188,108,marvel
55,Captain Atom,good,male,human,blue,silver,193,90,dc
56,Captain Britain,good,male,human,blue,blond,198,116,marvel
57,Captain Marvel,good,female,mixed-race,blue,blond,180,74,marvel
58,Captain Marvel,good,male,human,blue,burnette,193,101,dc
59,Captain Marvel II,good,male,human,blue,burnette,175,74,dc
60,Carnage,bad,male,alien,green,ginger,185,86,marvel
61,Catwoman,good,female,human,green,burnette,175,61,dc
62,Century,good,male,alien,white,white,201,97,marvel
63,Chamber,good,male,human,brown,burnette,175,63,marvel
64,Cheetah,bad,female,human,green,blond,163,50,dc
65,Cheetah II,bad,female,human,green,burnette,170,55,dc
66,Cheetah III,bad,female,human,brown,burnette,175,54,dc
67,Citizen Steel,good,male,human,green,ginger,183,170,dc
68,Clock King,bad,male,human,blue,burnette,178,78,dc
69,Colossus,good,male,human,silver,burnette,226,225,marvel
70,Cottonmouth,bad,male,human,brown,burnette,183,99,marvel
